Filter,Reduction,Model,Accuracy_List,Accuracy_Mean,F1_Score,B_Accuracy
ANOVA,ICA,KNN_1,0.5921781640412819,0.5921781640412819,0.5903078058010132,0.5912741252760938
ANOVA,ICA,KNN_10,0.6360673546985334,0.6360673546985334,0.6330681229335149,0.6356062548135866
ANOVA,ICA,KNN_20,0.6501901140684411,0.6501901140684411,0.6457938378459633,0.6497002915967149
ANOVA,ICA,NeuralNetwork_100,0.5946768060836503,0.5946768060836503,0.5788623688976063,0.5960456187962678
ANOVA,ICA,NeuralNetwork_100_50,0.6001086366105378,0.6001086366105378,0.5731106984271458,0.5988278199005854
ANOVA,ICA,NeuralNetwork_50,0.6031504617055947,0.6031504617055947,0.5879723213030483,0.6032556480802695
ANOVA,ICA,SVM_0.1,0.6587724063009235,0.6587724063009235,0.6457815886273901,0.6589400339073592
ANOVA,ICA,SVM_0.5,0.6690928843020097,0.6690928843020097,0.6577255430505794,0.6683753986605263
ANOVA,ICA,SVM_1.0,0.6700706137968495,0.6700706137968495,0.6592514500308143,0.6691503911463152
ANOVA,LDA,KNN_1,0.9538294405214558,0.9538294405214558,0.9541179326284034,0.9544510265288364
ANOVA,LDA,KNN_10,0.9598044541010321,0.9598044541010321,0.9597447836173503,0.9600615636257013
ANOVA,LDA,KNN_20,0.9603476371537208,0.9603476371537208,0.9603499116983911,0.9605954344672198
ANOVA,LDA,NeuralNetwork_100,0.9023356871265618,0.9023356871265618,0.8980456846478283,0.9043962100540874
ANOVA,LDA,NeuralNetwork_100_50,0.8646387832699618,0.8646387832699618,0.8487190640251834,0.8677915753150518
ANOVA,LDA,NeuralNetwork_50,0.8815860945138511,0.8815860945138511,0.8759105108413412,0.8858807614994658
ANOVA,LDA,SVM_0.1,0.9491580662683324,0.9491580662683324,0.9493367678489053,0.9505434718735962
ANOVA,LDA,SVM_0.5,0.9589353612167301,0.9589353612167301,0.9589394132810456,0.9592113780652756
ANOVA,LDA,SVM_1.0,0.9592612710483435,0.9592612710483435,0.9592287396076531,0.9594850425410929
ANOVA,PCA,KNN_1,0.8650733297121131,0.8650733297121131,0.8647970192034615,0.8647192492168883
ANOVA,PCA,KNN_10,0.896034763715372,0.896034763715372,0.8967242815707557,0.8964873564377873
ANOVA,PCA,KNN_20,0.898642042368278,0.898642042368278,0.8994672296425668,0.8990076562842544
ANOVA,PCA,NeuralNetwork_100,0.9261271048343293,0.9261271048343293,0.9271799909772935,0.9267208139732765
ANOVA,PCA,NeuralNetwork_100_50,0.9186311787072242,0.9186311787072242,0.9186892662932106,0.9190212928015701
ANOVA,PCA,NeuralNetwork_50,0.9239543726235742,0.9239543726235742,0.9250274716044448,0.924954279495023
ANOVA,PCA,SVM_0.1,0.9114611624117328,0.9114611624117328,0.9110831241988169,0.9119354731060494
ANOVA,PCA,SVM_0.5,0.9278652906029332,0.9278652906029332,0.9269399028039871,0.9276009161728374
ANOVA,PCA,SVM_1.0,0.9298207495926128,0.9298207495926128,0.9289113350439984,0.9294704809014902
ANOVA,Sin reducción,KNN_1,0.8739815317762085,0.8739815317762085,0.8736860896716921,0.8730877532524515
ANOVA,Sin reducción,KNN_10,0.9009234111895708,0.9009234111895708,0.9014320508026689,0.900701190468555
ANOVA,Sin reducción,KNN_20,0.9048343291689299,0.9048343291689299,0.9056056305085575,0.9046794646356983
ANOVA,Sin reducción,NeuralNetwork_100,0.8675719717544812,0.8675719717544812,0.8605764159064669,0.866560531416112
ANOVA,Sin reducción,NeuralNetwork_100_50,0.85507876154264,0.85507876154264,0.84832416909858,0.8532320478339482
ANOVA,Sin reducción,NeuralNetwork_50,0.8651819663226508,0.8651819663226508,0.8557751644523302,0.8625912962415484
ANOVA,Sin reducción,SVM_0.1,0.9046170559478546,0.9046170559478546,0.9047988085584286,0.9056477108136545
ANOVA,Sin reducción,SVM_0.5,0.9310157523085281,0.9310157523085281,0.9304525116369629,0.9310897039226106
ANOVA,Sin reducción,SVM_1.0,0.9369907658881041,0.9369907658881041,0.9363356322819725,0.936983687806876
Kendall,ICA,KNN_1,0.5921781640412819,0.5921781640412819,0.5903078058010132,0.5912741252760938
Kendall,ICA,KNN_10,0.6360673546985334,0.6360673546985334,0.6330681229335149,0.6356062548135866
Kendall,ICA,KNN_20,0.6501901140684411,0.6501901140684411,0.6457938378459633,0.6497002915967149
Kendall,ICA,NeuralNetwork_100,0.6009777294948397,0.6009777294948397,0.5863286846546093,0.6019998136653523
Kendall,ICA,NeuralNetwork_100_50,0.5902227050516025,0.5902227050516025,0.5616884649781807,0.5887188950036217
Kendall,ICA,NeuralNetwork_50,0.601303639326453,0.601303639326453,0.5869052913141262,0.6018683128075798
Kendall,ICA,SVM_0.1,0.6586637696903856,0.6586637696903856,0.645709622277489,0.6588138129233412
Kendall,ICA,SVM_0.5,0.6696360673546986,0.6696360673546986,0.658420731147415,0.6689465490360424
Kendall,ICA,SVM_1.0,0.669418794133623,0.669418794133623,0.6584741684522274,0.6684785183342686
Kendall,LDA,KNN_1,0.9538294405214558,0.9538294405214558,0.9541179326284034,0.9544510265288364
Kendall,LDA,KNN_10,0.9598044541010321,0.9598044541010321,0.9597447836173503,0.9600615636257013
Kendall,LDA,KNN_20,0.9603476371537208,0.9603476371537208,0.9603499116983911,0.9605954344672198
Kendall,LDA,NeuralNetwork_100,0.9017925040738728,0.9017925040738728,0.8976437170127252,0.9038132037453476
Kendall,LDA,NeuralNetwork_100_50,0.8600760456273765,0.8600760456273765,0.8443074882019737,0.8624219745494107
Kendall,LDA,NeuralNetwork_50,0.8909288430200977,0.8909288430200977,0.8861178263693551,0.893552832570391
Kendall,LDA,SVM_0.1,0.9483976099945682,0.9483976099945682,0.9484649482936132,0.9496686300306572
Kendall,LDA,SVM_0.5,0.9589353612167301,0.9589353612167301,0.9589783937016424,0.9592538736042526
Kendall,LDA,SVM_1.0,0.9589353612167301,0.9589353612167301,0.9589245530514822,0.9591746784596278
Kendall,PCA,KNN_1,0.8650733297121131,0.8650733297121131,0.8647970192034615,0.8647192492168883
Kendall,PCA,KNN_10,0.896034763715372,0.896034763715372,0.8967242815707557,0.8964873564377873
Kendall,PCA,KNN_20,0.898642042368278,0.898642042368278,0.8994672296425668,0.8990076562842544
Kendall,PCA,NeuralNetwork_100,0.9264530146659424,0.9264530146659424,0.9273967893713777,0.927233902387386
Kendall,PCA,NeuralNetwork_100_50,0.9143943508962522,0.9143943508962522,0.9151651863306285,0.9155613503753498
Kendall,PCA,NeuralNetwork_50,0.9239543726235742,0.9239543726235742,0.9252356837927108,0.9248944793856809
Kendall,PCA,SVM_0.1,0.9117870722433461,0.9117870722433461,0.911456274511135,0.9122717706067892
Kendall,PCA,SVM_0.5,0.9281912004345465,0.9281912004345465,0.9272673641035365,0.9279021093520555
Kendall,PCA,SVM_1.0,0.9299293862031505,0.9299293862031505,0.9289903289114569,0.9295472690437803
Kendall,Sin reducción,KNN_1,0.8739815317762085,0.8739815317762085,0.8736860896716921,0.8730877532524515
Kendall,Sin reducción,KNN_10,0.9009234111895708,0.9009234111895708,0.9014320508026689,0.900701190468555
Kendall,Sin reducción,KNN_20,0.9048343291689299,0.9048343291689299,0.9056056305085575,0.9046794646356983
Kendall,Sin reducción,NeuralNetwork_100,0.86376969038566,0.86376969038566,0.8466603709333231,0.8589744464700113
Kendall,Sin reducción,NeuralNetwork_100_50,0.8833242802824552,0.8833242802824552,0.874282806480141,0.8804157400699089
Kendall,Sin reducción,NeuralNetwork_50,0.8581205866376969,0.8581205866376969,0.8464588604296159,0.8556675938124881
Kendall,Sin reducción,SVM_0.1,0.9047256925583923,0.9047256925583923,0.9049039795015332,0.9057763390951425
Kendall,Sin reducción,SVM_0.5,0.9310157523085281,0.9310157523085281,0.9304627799663038,0.931094499624265
Kendall,Sin reducción,SVM_1.0,0.9365562194459534,0.9365562194459534,0.935871212784579,0.9365395685847158
MI,ICA,KNN_1,0.5921781640412819,0.5921781640412819,0.5903078058010132,0.5912741252760938
MI,ICA,KNN_10,0.6360673546985334,0.6360673546985334,0.6330681229335149,0.6356062548135866
MI,ICA,KNN_20,0.6501901140684411,0.6501901140684411,0.6457938378459633,0.6497002915967149
MI,ICA,NeuralNetwork_100,0.5998913633894623,0.5998913633894623,0.5829395708944698,0.6003541327595764
MI,ICA,NeuralNetwork_100_50,0.5981531776208582,0.5981531776208582,0.5755369265080201,0.5978655141162109
MI,ICA,NeuralNetwork_50,0.6018468223791419,0.6018468223791419,0.5848084069819199,0.6019272392862456
MI,ICA,SVM_0.1,0.6586637696903856,0.6586637696903856,0.645694888262905,0.6588459265131673
MI,ICA,SVM_0.5,0.6695274307441608,0.6695274307441608,0.6581821688161684,0.6688522423883919
MI,ICA,SVM_1.0,0.6697447039652362,0.6697447039652362,0.6587883018490154,0.6688056164226167
MI,LDA,KNN_1,0.9538294405214558,0.9538294405214558,0.9541179326284034,0.9544510265288364
MI,LDA,KNN_10,0.9598044541010321,0.9598044541010321,0.9597447836173503,0.9600615636257013
MI,LDA,KNN_20,0.9603476371537208,0.9603476371537208,0.9603499116983911,0.9605954344672198
MI,LDA,NeuralNetwork_100,0.8991852254209668,0.8991852254209668,0.8950670736092763,0.901924624755682
MI,LDA,NeuralNetwork_100_50,0.8453014665942422,0.8453014665942422,0.8249452415609497,0.8487257153616051
MI,LDA,NeuralNetwork_50,0.8959261271048342,0.8959261271048342,0.8909728150818579,0.8985258659484314
MI,LDA,SVM_0.1,0.949375339489408,0.949375339489408,0.9495322516724279,0.9507348748450571
MI,LDA,SVM_0.5,0.9590439978272679,0.9590439978272679,0.9590535108538498,0.9593264778872117
MI,LDA,SVM_1.0,0.9591526344378056,0.9591526344378056,0.9590772323352255,0.9593415721234738
MI,PCA,KNN_1,0.8650733297121131,0.8650733297121131,0.8647970192034615,0.8647192492168883
MI,PCA,KNN_10,0.896034763715372,0.896034763715372,0.8967242815707557,0.8964873564377873
MI,PCA,KNN_20,0.898642042368278,0.898642042368278,0.8994672296425668,0.8990076562842544
MI,PCA,NeuralNetwork_100,0.922650733297121,0.922650733297121,0.923591993048654,0.9231376920225275
MI,PCA,NeuralNetwork_100_50,0.9213470939706682,0.9213470939706682,0.9222166046090363,0.92192336935875
MI,PCA,NeuralNetwork_50,0.9216730038022813,0.9216730038022813,0.922709753906026,0.9223542318423359
MI,PCA,SVM_0.1,0.9117870722433461,0.9117870722433461,0.9114740735840071,0.9122733668150292
MI,PCA,SVM_0.5,0.9273221075502445,0.9273221075502445,0.9263852995523054,0.9269663785975594
MI,PCA,SVM_1.0,0.9298207495926126,0.9298207495926126,0.9288877486837237,0.9294285570452402
MI,Sin reducción,KNN_1,0.8739815317762085,0.8739815317762085,0.8736860896716921,0.8730877532524515
MI,Sin reducción,KNN_10,0.9009234111895708,0.9009234111895708,0.9014320508026689,0.900701190468555
MI,Sin reducción,KNN_20,0.9048343291689299,0.9048343291689299,0.9056056305085575,0.9046794646356983
MI,Sin reducción,NeuralNetwork_100,0.8976643128734384,0.8976643128734384,0.8913015083255414,0.8958998114388252
MI,Sin reducción,NeuralNetwork_100_50,0.8392178164041283,0.8392178164041283,0.8254917060720798,0.8358060088081238
MI,Sin reducción,NeuralNetwork_50,0.8492123845736014,0.8492123845736014,0.8402072197238081,0.8462843700575611
MI,Sin reducción,SVM_0.1,0.9046170559478546,0.9046170559478546,0.9047734512712934,0.905656451167874
MI,Sin reducción,SVM_0.5,0.9311243889190658,0.9311243889190658,0.9305965912446841,0.9312619352864093
MI,Sin reducción,SVM_1.0,0.9370994024986421,0.9370994024986421,0.9364594062620855,0.9371142143433993
Pearson,ICA,KNN_1,0.5072243346007606,0.5072243346007606,0.5106221435731045,0.5124383381223743
Pearson,ICA,KNN_10,0.5590439978272679,0.5590439978272679,0.5601856249773914,0.563253742445816
Pearson,ICA,KNN_20,0.5741444866920153,0.5741444866920153,0.5732590551537229,0.5784705055441932
Pearson,ICA,NeuralNetwork_100,0.5084193373166757,0.5084193373166757,0.4776121999148038,0.5134537364415748
Pearson,ICA,NeuralNetwork_100_50,0.4992938620315046,0.4992938620315046,0.46090625602646573,0.5043970441917482
Pearson,ICA,NeuralNetwork_50,0.5195002715915265,0.5195002715915265,0.492214034342043,0.5243520048398815
Pearson,ICA,SVM_0.1,0.5793590439978273,0.5793590439978273,0.5652971472877064,0.5837124286185852
Pearson,ICA,SVM_0.5,0.5881586094513851,0.5881586094513851,0.5768971332789569,0.591505980475316
Pearson,ICA,SVM_1.0,0.5898967952199892,0.5898967952199892,0.5797515190662852,0.5931447337918341
Pearson,LDA,KNN_1,0.9234111895708853,0.9234111895708853,0.9237759823280012,0.9245629909763975
Pearson,LDA,KNN_10,0.9368821292775668,0.9368821292775668,0.9371854874290182,0.938098565370072
Pearson,LDA,KNN_20,0.938077131993482,0.938077131993482,0.9384343497380243,0.93926634685189
Pearson,LDA,NeuralNetwork_100,0.9355784899511136,0.9355784899511136,0.9358603328400182,0.9362051101791661
Pearson,LDA,NeuralNetwork_100_50,0.9296034763715373,0.9296034763715373,0.9298529035397045,0.9299191890859337
Pearson,LDA,NeuralNetwork_50,0.9351439435089623,0.9351439435089623,0.9353962024855929,0.9356133264586669
Pearson,LDA,SVM_0.1,0.9392721347093971,0.9392721347093971,0.939545524189786,0.9403011274927234
Pearson,LDA,SVM_0.5,0.9379684953829441,0.9379684953829441,0.9381661920622877,0.9388877733955432
Pearson,LDA,SVM_1.0,0.9378598587724063,0.9378598587724063,0.93807544304788,0.9387180790722838
Pearson,PCA,KNN_1,0.8501901140684411,0.8501901140684411,0.848505706566643,0.8478115068768949
Pearson,PCA,KNN_10,0.8865833785985877,0.8865833785985877,0.8862687809008568,0.8848705580259122
Pearson,PCA,KNN_20,0.8856056491037482,0.8856056491037482,0.8853247032123985,0.8838237672335121
Pearson,PCA,NeuralNetwork_100,0.9228680065181966,0.9228680065181966,0.9229098682668286,0.9228800342881598
Pearson,PCA,NeuralNetwork_100_50,0.9215643671917437,0.9215643671917437,0.9220654234686219,0.9219760729915689
